"类型","报价单ID","客户名","规格编码","客户叫法","单位","旧值","新值","差","要不要问"
"改价","S12738","广东广垦绿色农产品有限公司","D11264047","水豆腐（斤）","斤","1.8","1.5","-0.30",""
"改价","S12738","广东广垦绿色农产品有限公司","D11264046","日本豆腐（条）","条","0.58","0.55","-0.03",""
"改价","S12738","广东广垦绿色农产品有限公司","D11263352","水豆腐（小）","板","5.5","5.2","-0.30",""
"改价","S12738","广东广垦绿色农产品有限公司","D11263351","豆泡（小）","斤","6.3","6","-0.30",""
"改价","S12738","广东广垦绿色农产品有限公司","D11263348","千张/豆皮","斤","4.3","4.2","-0.10",""
"改价","S12738","广东广垦绿色农产品有限公司","D11263345","攸县香干","斤","3.8","3.6","-0.20",""
"改价","S12738","广东广垦绿色农产品有限公司","D11263314","尝元豆腐串（串）","串","0.65","0.6","-0.05",""
"新增","S9888","佳丰顺德超市","D14692631","碱水面","斤","","3.2","",""
"新增","S9888","佳丰顺德超市","D14616794","全蛋云吞皮","斤","","6.5","",""
"新增","S8722","佛山梁日配送服务有限公司","D14239999","韧豆腐（中板）","板","","9.5","",""
"新增","S7848","骏勉食品","D14698667","凉粉","斤","","2","",""
"新增","S4892","武汉市金稻云商贸有限公司（军绿）","D14434154","老豆腐（盒）","盒","","3.5","",""
"新增","S4317","雅食乐餐饮管理服务有限公司","D14555730","炸油片","斤","","5.5","",""
"新增","S3032","多多","D14133512","冻豆腐","斤","","1","",""
"新增","S3010","大沥桂江市场朗云档","D14145741","尝元薄烟干","斤","","2.7","",""
"新增","S3003","佳丰生活超市","D14349287","群英荟萃","件","","43","",""
"新增","S2998","广东正沅餐饮管理有限公司","D14360526","干水豆腐6-7斤","板","","7","",""
"新增","S2996","佛山市珠玑食品有限公司","D14591337","卤豆干","斤","","4.5","",""
"新增","S2996","佛山市珠玑食品有限公司","D14591336","浓浆豆腐（8.5）","板","","9.5","",""
"新增","S2986","佛山市日宥农副产品有限公司（餐享家）","D14553019","油片","斤","","6","",""
"新增","S2983","佛山厨鲜达食材配送","D14494855","普宁黄豆干（3斤/包）","包","","12","",""
"新增","S2963","佛山市鸿益配餐食材加工有限公司","D14693022","鸭血（盒）","盒","","1.7","",""
"新增","S2959","佛山市中央厨房供应链有限公司","D14438775","米豆腐","斤","","2","",""
"新增","S2958","朗誉食品有限公司","D14484075","尝元山水豆腐400g","盒","","2.5","",""
"新增","S2948","一分利生鲜配送中心","D14308284","尝元豆腐串（50串/包）","包","","25","",""
"新增","S2944","广东朱鲜生餐饮有限公司","D14417388","车田豆腐360g","盒","","6","",""
"新增","S2934","佛山市南海轩宝餐饮管理有限公司狮山分公司","D14068804","尝元韧豆腐（5斤）","板","","7","",""
"新增","S2933","祥熙","D14624057","鲜支竹","斤","","13","",""
"新增","S2930","广东蔬源农产品有限公司","D14593553","素鸡（加工）","斤","","4","",""
"新增","S2923","佛山市咏泉食品配送有限公司","D14686592","薄油片","斤","","6.09","",""
"新增","S2752","默认报价单","D14308275","尝元豆腐串（50串/包）","包","","0","",""
"新增","S2752","默认报价单","D14274228","日本豆腐（件）","件","","20","",""
"新增","S2752","默认报价单","D14274214","薄烟干（包装）200g","包","","0.72","",""
"新增","S16727","龙门乐万佳-永汉西林","D14736109","攸县香干","斤","","4.2","",""
"新增","S16727","龙门乐万佳-永汉西林","D14734986","沙河粉","斤","","1.4","",""
"新增","S16727","龙门乐万佳-永汉西林","D14733295","陈村粉","斤","","1.7","",""
"新增","S16727","龙门乐万佳-永汉西林","D14733269","猪肠粉","斤","","1.7","",""
"新增","S16727","龙门乐万佳-永汉西林","D14733268","桂林米粉","斤","","1.7","",""
"新增","S16727","龙门乐万佳-永汉西林","D14733265","芝麻粉","斤","","1.7","",""
"新增","S16727","龙门乐万佳-永汉西林","D14733258","细面","斤","","2.7","",""
"新增","S16727","龙门乐万佳-永汉西林","D14733249","柳叶面","斤","","2.7","",""
"新增","S16727","龙门乐万佳-永汉西林","D14733180","云吞皮","斤","","3.5","",""
"新增","S16727","龙门乐万佳-永汉西林","D14725332","饺子皮","斤","","3.5","",""
"新增","S16727","龙门乐万佳-永汉西林","D14723641","尝元薄烟干","斤","","5.8","",""
"新增","S16727","龙门乐万佳-永汉西林","D14722517","尝元小豆泡","斤","","6.9","",""
"新增","S16727","龙门乐万佳-永汉西林","D14721370","尝元三角豆泡","斤","","6.9","",""
"新增","S16727","龙门乐万佳-永汉西林","D14716190","薄油片","斤","","6.9","",""
"新增","S16727","龙门乐万佳-永汉西林","D14715605","尝元圆面筋","斤","","8.9","",""
"新增","S16727","龙门乐万佳-永汉西林","D14715029","千张","斤","","5.5","",""
"新增","S16727","龙门乐万佳-永汉西林","D14713464","尝元炸豆干","斤","","5.8","",""
"新增","S16727","龙门乐万佳-永汉西林","D14712343","尝元豆腐串（斤）","斤","","14.9","",""
"新增","S16727","龙门乐万佳-永汉西林","D14711768","鸭血（盒）","盒","","1.3","",""
"新增","S16727","龙门乐万佳-永汉西林","D14711208","魔芋","斤","","2.1","",""
"新增","S16727","龙门乐万佳-永汉西林","D14710649","米豆腐","斤","","2.1","",""
"新增","S16727","龙门乐万佳-永汉西林","D14710090","千张结","斤","","7.4","",""
"新增","S16727","龙门乐万佳-永汉西林","D14709525","鱼腐","斤","","21.2","",""
"新增","S16727","龙门乐万佳-永汉西林","D14708963","尝元长豆条","斤","","6.9","",""
"新增","S16727","龙门乐万佳-永汉西林","D14708402","尝元大豆泡","斤","","6.9","",""
"新增","S16727","龙门乐万佳-永汉西林","D14707835","海带丝","斤","","5.9","",""
"新增","S16727","龙门乐万佳-永汉西林","D14705578","海带结","斤","","5.9","",""
"新增","S16727","龙门乐万佳-永汉西林","D14705568","湿面","斤","","2.7","",""
"新增","S16704","乐易购棠德南店","D14692300","猪血（大块）","斤","","1.5","",""
"新增","S16704","乐易购棠德南店","D14692295","车田豆腐","盒","","5.5","",""
"新增","S16704","乐易购棠德南店","D14692213","热干面","斤","","3.5","",""
"新增","S16704","乐易购棠德南店","D14692212","宽面条","斤","","3.5","",""
"新增","S16704","乐易购棠德南店","D14692211","尝元山水豆腐（400g/盒）","盒","","2.5","",""
"新增","S16704","乐易购棠德南店","D14692210","米线","斤","","1.8","",""
"新增","S16704","乐易购棠德南店","D14692209","碱水面","斤","","3.5","",""
"新增","S16704","乐易购棠德南店","D14692208","益群内酯鲜豆腐（400g/盒）","盒","","1.8","",""
"新增","S16704","乐易购棠德南店","D14692207","麻辣豆腐丝","斤","","5","",""
"新增","S16704","乐易购棠德南店","D14692206","豆腐饼（块）","块","","2","",""
"新增","S16704","乐易购棠德南店","D14692205","普宁黄豆干","斤","","4","",""
"新增","S16704","乐易购棠德南店","D14692204","黄豆干（卤白干）","斤","","4","",""
"新增","S16704","乐易购棠德南店","D14692203","尝元白豆干","斤","","3","",""
"新增","S16704","乐易购棠德南店","D14692202","白香干","斤","","3","",""
"新增","S16704","乐易购棠德南店","D14692201","豆皮结8斤","件","","104","",""
"新增","S16704","乐易购棠德南店","D14692200","千张结","斤","","5.5","",""
"新增","S16704","乐易购棠德南店","D14692199","千张丝","斤","","4.8","",""
"新增","S16704","乐易购棠德南店","D14692198","千张","斤","","4.5","",""
"新增","S16704","乐易购棠德南店","D14692197","尝元豆腐串（串）","串","","0.6","",""
"新增","S16704","乐易购棠德南店","D14692196","尝元圆面筋","斤","","7.5","",""
"新增","S16704","乐易购棠德南店","D14692195","尝元扁面筋","斤","","7.5","",""
"新增","S16704","乐易购棠德南店","D14692194","阳山豆腐片","斤","","8.5","",""
"新增","S16704","乐易购棠德南店","D14692193","厚油片","斤","","6","",""
"新增","S16704","乐易购棠德南店","D14692192","薄油片","斤","","6","",""
"新增","S16704","乐易购棠德南店","D14692191","尝元炸豆干","斤","","6","",""
"新增","S16704","乐易购棠德南店","D14692190","炸支竹（斤）","斤","","13","",""
"新增","S16704","乐易购棠德南店","D14692189","炸腐竹（斤）","斤","","13","",""
"新增","S16704","乐易购棠德南店","D14692188","炸豆腐（盒）400g","盒","","4.5","",""
"新增","S16704","乐易购棠德南店","D14692187","尝元炸豆腐（斤）","斤","","4.5","",""
"新增","S16704","乐易购棠德南店","D14692186","阳山大豆泡","斤","","8.5","",""
"新增","S16704","乐易购棠德南店","D14692185","阳山小豆泡","斤","","8.5","",""
"新增","S16704","乐易购棠德南店","D14692184","尝元三角豆泡","斤","","6.5","",""
"新增","S16704","乐易购棠德南店","D14692183","尝元长豆条","斤","","6.5","",""
"新增","S16704","乐易购棠德南店","D14692182","尝元小豆泡","斤","","6.5","",""
"新增","S16704","乐易购棠德南店","D14692181","尝元大豆泡","斤","","6.5","",""
"新增","S16704","乐易购棠德南店","D14692180","厚烟干","斤","","4","",""
"新增","S16704","乐易购棠德南店","D14692179","尝元薄烟干","斤","","4","",""
"新增","S16704","乐易购棠德南店","D14692178","木耳","斤","","4.5","",""
"新增","S16704","乐易购棠德南店","D14692177","海带结","斤","","5.5","",""
"新增","S16704","乐易购棠德南店","D14692176","海带丝","斤","","5.5","",""
"新增","S16704","乐易购棠德南店","D14692175","猪血","斤","","1.5","",""
"新增","S16704","乐易购棠德南店","D14692174","饺子皮","斤","","3.5","",""
"新增","S16704","乐易购棠德南店","D14692173","云吞皮","斤","","3.5","",""
"新增","S16704","乐易购棠德南店","D14692172","油面","斤","","3.5","",""
"新增","S16704","乐易购棠德南店","D14692171","拉面","斤","","3.5","",""
"新增","S16704","乐易购棠德南店","D14692170","刀削面","斤","","3.5","",""
"新增","S16704","乐易购棠德南店","D14692169","粗面","斤","","3.5","",""
"新增","S16704","乐易购棠德南店","D14692168","柳叶面","斤","","3.5","",""
"新增","S16704","乐易购棠德南店","D14692167","湿面","斤","","3.5","",""
"新增","S16704","乐易购棠德南店","D14692166","细面","斤","","3.5","",""
"新增","S16704","乐易购棠德南店","D14692165","米豆腐","斤","","2","",""
"新增","S16704","乐易购棠德南店","D14692164","手工凉皮（张）","张","","2","",""
"新增","S16704","乐易购棠德南店","D14692163","卷卷凉皮","斤","","3.5","",""
"新增","S16704","乐易购棠德南店","D14692162","凉皮面筋","斤","","9.5","",""
"新增","S16704","乐易购棠德南店","D14692161","烤麸","斤","","9.5","",""
"新增","S16704","乐易购棠德南店","D14692160","粿条","斤","","1.8","",""
"新增","S16704","乐易购棠德南店","D14692159","广西粉","斤","","2","",""
"新增","S16704","乐易购棠德南店","D14692158","芝麻粉","斤","","1.7","",""
"新增","S16704","乐易购棠德南店","D14692157","桂林米粉","斤","","1.7","",""
"新增","S16704","乐易购棠德南店","D14692156","猪肠粉","斤","","1.4","",""
"新增","S16704","乐易购棠德南店","D14692155","陈村粉","斤","","1.7","",""
"新增","S16704","乐易购棠德南店","D14692154","沙河粉","斤","","1.4","",""
"新增","S16704","乐易购棠德南店","D14692153","凉粉","斤","","2","",""
"新增","S16704","乐易购棠德南店","D14692152","鸡蛋干150g","包","","2.5","",""
"新增","S16704","乐易购棠德南店","D14692151","牛皮豆干250g","包","","7","",""
"新增","S16704","乐易购棠德南店","D14692150","素鸡","斤","","3.5","",""
"新增","S16704","乐易购棠德南店","D14692149","五香干（茶干）","斤","","4.5","",""
"新增","S16704","乐易购棠德南店","D14692148","攸县香干","斤","","3.5","",""
"新增","S16704","乐易购棠德南店","D14692147","香干","斤","","3.5","",""
"新增","S16704","乐易购棠德南店","D14692146","鱼腐","斤","","20","",""
"新增","S16704","乐易购棠德南店","D14692145","响铃卷","包","","7","",""
"新增","S16704","乐易购棠德南店","D14692144","鲜支竹（2斤）","包","","24","",""
"新增","S16704","乐易购棠德南店","D14692143","鲜支竹（斤）","斤","","13","",""
"新增","S16704","乐易购棠德南店","D14692142","鲜腐皮（250g/包）","包","","20","",""
"新增","S16704","乐易购棠德南店","D14692141","魔芋","斤","","2","",""
"新增","S16704","乐易购棠德南店","D14692140","老豆腐（斤）","斤","","2","",""
"新增","S16704","乐易购棠德南店","D14692139","水豆腐（斤）","斤","","1.5","",""
"新增","S16704","乐易购棠德南店","D14692138","鸭血（盒）","盒","","1.2","",""
"新增","S16704","乐易购棠德南店","D14692137","千叶豆腐（包）","包","","4.5","",""
"新增","S16704","乐易购棠德南店","D14692136","日本豆腐（40条/件）","件","","16","",""
"新增","S16704","乐易购棠德南店","D14692135","益群山水豆腐（400g/盒）","盒","","2.5","",""
"新增","S16704","乐易购棠德南店","D14692134","花泉山水豆腐（400g/盒）","盒","","3.5","",""
"新增","S16704","乐易购棠德南店","D14692133","尝元黑豆腐（盒）","盒","","5.5","",""
"新增","S16704","乐易购棠德南店","D14692132","客家豆腐（500g/盒）","盒","","3","",""
"新增","S16704","乐易购棠德南店","D14692131","尝元老豆腐（ 350g/盒）","盒","","3","",""
"新增","S16704","乐易购棠德南店","D14692130","尝元内酯豆腐（400g/盒）","盒","","1.8","",""
"新增","S16704","乐易购棠德南店","D14692129","尝元山水豆腐（500g/盒）","盒","","2.5","",""
"新增","S16704","乐易购棠德南店","D14692128","尝元老豆腐（15斤）","板","","30","",""
"新增","S16704","乐易购棠德南店","D14692127","尝元小板（27规格）","板","","4.5","",""
"新增","S16704","乐易购棠德南店","D14692126","尝元小板（28规格）","板","","5","",""
"新增","S16704","乐易购棠德南店","D14692125","尝元小板豆腐（5斤）","板","","6","",""
"新增","S16704","乐易购棠德南店","D14692124","尝元花板豆腐（6斤）","板","","7","",""
"新增","S16704","乐易购棠德南店","D14692123","尝元韧豆腐豆腐（6.5斤）","板","","8","",""
"新增","S16704","乐易购棠德南店","D14692122","尝元中板豆腐（7斤）","板","","8","",""
"新增","S16704","乐易购棠德南店","D14692121","尝元浓浆豆腐（8.5斤）","板","","10","",""
"新增","S16704","乐易购棠德南店","D14692120","尝元大板豆腐（14-15斤）","板","","18","",""
"新增","S16226","彦文超市","D14695154","小豆泡","斤","","6","",""
"新增","S16226","彦文超市","D14623847","攸县香干（5斤/包）","包","","17.5","",""
"新增","S16226","彦文超市","D14493675","白豆干","斤","","3","",""
"新增","S16226","彦文超市","D14493672","猪血","斤","","1","",""
"新增","S16226","彦文超市","D14493670","烟干","斤","","4.5","",""
"新增","S16226","彦文超市","D14493657","炸豆腐（斤）","斤","","4.5","",""
"新增","S16226","彦文超市","D14493655","千张","斤","","5.6","",""
"新增","S16226","彦文超市","D14493650","木耳","斤","","3.5","",""
"新增","S16226","彦文超市","D14493645","炸腐竹（5斤/包）","包","","75","",""
"新增","S16226","彦文超市","D14443136","尝元豆腐串（串）","串","","0.5","",""
"新增","S16226","彦文超市","D14442950","三角豆泡","斤","","6","",""
"新增","S16226","彦文超市","D14442947","豆条","斤","","6","",""
"新增","S16226","彦文超市","D14442939","水豆腐（6斤）","板","","6","",""
"新增","S16226","彦文超市","D14442926","老豆腐（15斤）","板","","30","",""
"新增","S16226","彦文超市","D14442916","米豆腐（板）","板","","20","",""
"新增","S16226","彦文超市","D14326048","大板豆腐","板","","18","",""
"新增","S16226","彦文超市","D14274261","香干（包装）200g","包","","1.8","",""
"新增","S16226","彦文超市","D14274255","车田豆腐360g","盒","","5.5","",""
"新增","S16226","彦文超市","D14274252","海带结","斤","","5","",""
"新增","S16226","彦文超市","D14274250","海带丝","斤","","5","",""
"新增","S16226","彦文超市","D14274247","响铃卷","包","","6.8","",""
"新增","S16226","彦文超市","D14274243","薄烟干（包装）200g","包","","1.8","",""
"新增","S16226","彦文超市","D14274237","日本豆腐（件）","件","","20","",""
"新增","S16226","彦文超市","D14274224","素鸡（200g）","包","","2.2","",""
"新增","S16226","彦文超市","D14274208","炸豆腐（盒）400g","盒","","4.5","",""
"新增","S16226","彦文超市","D14274195","嫩豆腐（500g/盒）","盒","","3","",""
"新增","S16226","彦文超市","D14274119","尝元山水豆腐（400g/盒）","盒","","2.6","",""
"新增","S16226","彦文超市","D14274118","千张（包装）250g","包","","2.8","",""
"新增","S16226","彦文超市","D14274117","尝元圆面筋","斤","","7","",""
"新增","S16226","彦文超市","D14274116","尝元大豆泡","斤","","6","",""
"新增","S16226","彦文超市","D14274115","鸭血（盒）","盒","","1.3","",""
"新增","S16226","彦文超市","D14274114","尝元黑豆腐（盒）","盒","","4.5","",""
"新增","S16226","彦文超市","D14274113","尝元老豆腐（ 350g/盒）","盒","","3.5","",""
"新增","S16226","彦文超市","D14274112","尝元内酯豆腐（400g/盒）","盒","","2","",""
"新增","S16165","广州鸿盛农副产品有限公司","D14695138","鸡蛋干","包","","2.5","",""
"新增","S16165","广州鸿盛农副产品有限公司","D14624101","炸腐竹（斤）","斤","","14","",""
"新增","S16165","广州鸿盛农副产品有限公司","D14490147","尝元小豆泡","斤","","6.5","",""
"新增","S16165","广州鸿盛农副产品有限公司","D14442239","大板押金","个","","10","",""
"新增","S16165","广州鸿盛农副产品有限公司","D14442232","尝元内酯豆腐","盒","","1.8","",""
"新增","S16165","广州鸿盛农副产品有限公司","D14442230","日本豆腐（条）","条","","0.4","",""
"新增","S16165","广州鸿盛农副产品有限公司","D14442219","炸豆腐","斤","","4.5","",""
"新增","S16165","广州鸿盛农副产品有限公司","D14442211","水豆腐","斤","","1.5","",""
"新增","S16165","广州鸿盛农副产品有限公司","D14442207","烟熏香干","斤","","3.8","",""
"新增","S16165","广州鸿盛农副产品有限公司","D14365149","薄油片（炸豆腐片）","斤","","6","",""
"新增","S16165","广州鸿盛农副产品有限公司","D14237101","老豆腐押金","个","","10","",""
"新增","S16165","广州鸿盛农副产品有限公司","D14237097","中板押金","个","","5","",""
"新增","S16165","广州鸿盛农副产品有限公司","D14230494","千张","斤","","4.3","",""
"新增","S16165","广州鸿盛农副产品有限公司","D14230493","海带结","斤","","5.5","",""
"新增","S16165","广州鸿盛农副产品有限公司","D14230492","海带丝","斤","","5.5","",""
"新增","S16165","广州鸿盛农副产品有限公司","D14230491","攸县香干","斤","","4","",""
"新增","S16165","广州鸿盛农副产品有限公司","D14230490","魔芋","斤","","2","",""
"新增","S16165","广州鸿盛农副产品有限公司","D14230489","老豆腐（斤）","斤","","2","",""
"新增","S16165","广州鸿盛农副产品有限公司","D14230488","尝元中板豆腐（7斤）","板","","7","",""
"新增","S13416","广州市帆海食品供应链","D14596743","豆腐","盒","","1","",""
"新增","S13402","大利家精品超市","D14607117","小板豆腐（5斤）","板","","6","",""
"新增","S13402","大利家精品超市","D14580670","鸭血（ 盒 ）","盒","","1.2","",""
"新增","S13402","大利家精品超市","D14360792","干支竹/腐竹（8.8斤/包）","包","","124","",""
"新增","S13402","大利家精品超市","D14360514","炸腐竹（5斤/包）","包","","70","",""
"新增","S13402","大利家精品超市","D14211083","老豆腐（斤）","斤","","2","",""
"新增","S13402","大利家精品超市","D14030436","益群内酯鲜豆腐","盒","","1.8","",""
"新增","S13280","广东乐禾菜云信息科技有限公司","D14591370","响铃卷","包","","6","",""
"新增","S13280","广东乐禾菜云信息科技有限公司","D14367105","豆腐串（10串/袋）","袋","","5","",""
"新增","S12738","广东广垦绿色农产品有限公司","D14692787","卤豆干","斤","","3.2","",""
"新增","S12738","广东广垦绿色农产品有限公司","D14623787","凉粉","斤","","2","",""
"新增","S12738","广东广垦绿色农产品有限公司","D14067231","品亿花石香干980g","盒","","15.8","",""
"新增","S12738","广东广垦绿色农产品有限公司","D14067211","三角油豆腐","斤","","7.5","",""
"新增","S12738","广东广垦绿色农产品有限公司","D14066783","米豆腐","斤","","2.5","",""
"没了","S9086","新又好","D13562003","炸腐竹（斤）","斤","18","","",""
"没了","S9046","胡道好","D12065389","花板","板","0","","",""
"没了","S3032","多多","D3942764","尝元老豆腐（ 350g/盒）","盒","1.9","","",""
"没了","S2979","士荣仓储配送中心","D3038314","猪血","斤","1","","",""
"没了","S12738","广东广垦绿色农产品有限公司","D11425107","花泉山水豆腐（件）","件","41","","",""
"改叫法","S9086","新又好","D8597527","猪红（斤）","斤","猪血（斤）","猪红（斤）","",""
"改叫法","S9086","新又好","D7456004","豆腐串（串）","串","豆腐串（20串/包）","豆腐串（串）","",""
"改叫法","S8481","鹏博","D7130890","白豆干（白香干）","斤","白豆干","白豆干（白香干）","",""
"改叫法","S7848","骏勉食品","D12015281","卤香干","斤","卤香干（2斤）","卤香干","",""
"改叫法","S7848","骏勉食品","D6432068","海带丝（2斤）","包","海带丝","海带丝（2斤）","",""
"改叫法","S7848","骏勉食品","D6432062","海带结（2斤）","包","海带结","海带结（2斤）","",""
"改叫法","S4317","雅食乐餐饮管理服务有限公司","D4062241","厚油片","斤","炸油片","厚油片","",""
"改叫法","S4317","雅食乐餐饮管理服务有限公司","D3989975","白豆干（豆腐片）","斤","尝元白豆干","白豆干（豆腐片）","",""
"改叫法","S4265","龙门乐万佳城北","D5802441","油豆腐（大）","斤","尝元大豆泡","油豆腐（大）","",""
"改叫法","S4265","龙门乐万佳城北","D4509852","魔芋豆腐","斤","魔芋","魔芋豆腐","",""
"改叫法","S4265","龙门乐万佳城北","D3973383","千张豆皮","斤","豆皮","千张豆皮","",""
"改叫法","S4265","龙门乐万佳城北","D3973379","三角豆泡","斤","尝元三角豆泡","三角豆泡","",""
"改叫法","S4265","龙门乐万佳城北","D3973378","油豆腐（小）","斤","尝元小豆泡","油豆腐（小）","",""
"改叫法","S3032","多多","D8360184","老豆腐（15斤）","板","老豆腐","老豆腐（15斤）","",""
"改叫法","S2979","士荣仓储配送中心","D7236026","猪红（小块）","斤","猪血（小块）","猪红（小块）","",""
"改叫法","S2979","士荣仓储配送中心","D7236024","猪红（大块）","斤","猪血（大块）","猪红（大块）","",""
"改叫法","S2979","士荣仓储配送中心","D3038333","千张/豆皮","斤","千张","千张/豆皮","",""
"改叫法","S2979","士荣仓储配送中心","D3038317","鲜木耳","斤","木耳","鲜木耳","",""
"改叫法","S2979","士荣仓储配送中心","D3038291","攸县香干","斤","香干","攸县香干","",""
"改叫法","S2930","广东蔬源农产品有限公司","D2851884","炸豆腐干（炸片）","斤","炸豆腐干","炸豆腐干（炸片）","",""
"改叫法","S10863","佛山市盈膳餐饮管理有限公司","D9890277","香干（包装）200g","包","香干","香干（包装）200g","",""
"改单位","S9086","新又好","D7456015","炸腐竹","斤","包","斤","","★单位变了会连数量一起错"
"改单位","S9086","新又好","D7456004","豆腐串（串）","串","包","串","","★单位变了会连数量一起错"
"改单位","S7848","骏勉食品","D12015281","卤香干","斤","包","斤","","★单位变了会连数量一起错"
"改单位","S7848","骏勉食品","D6432068","海带丝（2斤）","包","斤","包","","★单位变了会连数量一起错"
"改单位","S7848","骏勉食品","D6432062","海带结（2斤）","包","斤","包","","★单位变了会连数量一起错"
"改单位","S10863","佛山市盈膳餐饮管理有限公司","D9890277","香干（包装）200g","包","斤","包","","★单位变了会连数量一起错"
"新客户","S16727","龙门乐万佳-永汉西林","","","","","","",""
"新客户","S16704","乐易购棠德南店","","","","","","",""
"新客户","S16226","彦文超市","","","","","","",""
"新客户","S16165","广州鸿盛农副产品有限公司","","","","","","",""
